2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR007HUT/	ENCSR007HUT	cyc	cyc	FactorBook:ENCSR007HUT
/experiments/ENCSR909QHH/	ENCSR909QHH	grn	grn	FactorBook:ENCSR909QHH
/experiments/ENCSR359ZMS/	ENCSR359ZMS	fu2	prg	FactorBook:ENCSR359ZMS
/experiments/ENCSR875FVD/	ENCSR875FVD	Mad	Mad	FactorBook:ENCSR875FVD
/experiments/ENCSR461AXL/	ENCSR461AXL	h	h	FactorBook:ENCSR461AXL
/experiments/ENCSR946EAE/	ENCSR946EAE	pb	pb	FactorBook:ENCSR946EAE
/experiments/ENCSR969UGO/	ENCSR969UGO	Dad	Dad	FactorBook:ENCSR969UGO
/experiments/ENCSR718USP/	ENCSR718USP	CG13894	CG13894	FactorBook:ENCSR718USP
/experiments/ENCSR824HQS/	ENCSR824HQS	OdsH	OdsH	FactorBook:ENCSR824HQS
/experiments/ENCSR168NHD/	ENCSR168NHD	CrebA	CrebA	FactorBook:ENCSR168NHD
/experiments/ENCSR833LUF/	ENCSR833LUF	OdsH	OdsH	FactorBook:ENCSR833LUF
/experiments/ENCSR078TMF/	ENCSR078TMF	ovo	ovo	FactorBook:ENCSR078TMF
/experiments/ENCSR805JGA/	ENCSR805JGA	btn	btn	FactorBook:ENCSR805JGA
/experiments/ENCSR904ALL/	ENCSR904ALL	ERR	ERR	FactorBook:ENCSR904ALL
/experiments/ENCSR756AUU/	ENCSR756AUU	sage	sage	FactorBook:ENCSR756AUU
/experiments/ENCSR900SLE/	ENCSR900SLE	dmrt93B	dmrt93B	FactorBook:ENCSR900SLE
/experiments/ENCSR485SST/	ENCSR485SST	Ets97D	Ets97D	FactorBook:ENCSR485SST
/experiments/ENCSR505XFU/	ENCSR505XFU	her	her	FactorBook:ENCSR505XFU
/experiments/ENCSR166XCH/	ENCSR166XCH	corto	corto	FactorBook:ENCSR166XCH
/experiments/ENCSR713FWS/	ENCSR713FWS	CG4282	CG4282	FactorBook:ENCSR713FWS
/experiments/ENCSR769SFV/	ENCSR769SFV	bab2	bab2	FactorBook:ENCSR769SFV
/experiments/ENCSR867MPT/	ENCSR867MPT	toe	toe	FactorBook:ENCSR867MPT
